fold_id,test_subject,feature,coefficient,abs_coefficient
2,Subject205,alpha_FC5,0.020736290048748295,0.020736290048748295
2,Subject205,beta_FC5,-0.1766138385091112,0.1766138385091112
2,Subject205,delta_FC6,-0.00579876981902394,0.00579876981902394
2,Subject205,theta_FC6,0.04629479210215367,0.04629479210215367
2,Subject205,alpha_FC6,0.404458405734974,0.404458405734974
2,Subject205,beta_FC6,-0.2926392831365459,0.2926392831365459
2,Subject205,delta_O2,0.5012775673452348,0.5012775673452348
2,Subject205,theta_O2,0.5376715295497002,0.5376715295497002
2,Subject205,alpha_O2,-0.015971872732450425,0.015971872732450425
2,Subject205,beta_O2,-1.0429367758782564,1.0429367758782564
2,Subject205,delta_O1,-0.733107758584234,0.733107758584234
2,Subject205,theta_O1,-0.11413905940297517,0.11413905940297517
2,Subject205,alpha_O1,0.25173655565971326,0.25173655565971326
2,Subject205,beta_O1,0.38907533517382836,0.38907533517382836
3,Subject207,delta_F3,-0.01600430599729177,0.01600430599729177
3,Subject207,theta_F3,-0.14997871024136913,0.14997871024136913
3,Subject207,alpha_F3,-0.3869850791357702,0.3869850791357702
3,Subject207,beta_F3,1.1406485246683136,1.1406485246683136
3,Subject207,delta_F4,-0.22562042556302567,0.22562042556302567
3,Subject207,theta_F4,-0.2220871260649001,0.2220871260649001
3,Subject207,alpha_F4,0.2797955676609946,0.2797955676609946
3,Subject207,beta_F4,0.24695459852278287,0.24695459852278287
3,Subject207,delta_FC5,0.037557176293689654,0.037557176293689654
3,Subject207,theta_FC5,0.011659636945309478,0.011659636945309478
3,Subject207,alpha_FC5,-0.008679526924452665,0.008679526924452665
3,Subject207,beta_FC5,-0.03744751075926231,0.03744751075926231
3,Subject207,delta_FC6,-0.08354672063753445,0.08354672063753445
3,Subject207,theta_FC6,0.4585394173575824,0.4585394173575824
3,Subject207,alpha_FC6,0.3945871810536603,0.3945871810536603
3,Subject207,beta_FC6,-0.6693994835225968,0.6693994835225968
3,Subject207,delta_O2,-0.1619531064432267,0.1619531064432267
3,Subject207,theta_O2,0.2509444106227408,0.2509444106227408
3,Subject207,alpha_O2,0.11903941430003194,0.11903941430003194
3,Subject207,beta_O2,-1.0470461253408316,1.0470461253408316
3,Subject207,delta_O1,0.13701599056109204,0.13701599056109204
3,Subject207,theta_O1,-0.23163956291493484,0.23163956291493484
3,Subject207,alpha_O1,0.4151978830872681,0.4151978830872681
3,Subject207,beta_O1,-0.3060289349643411,0.3060289349643411
4,Subject208,delta_F3,-0.01872149905164107,0.01872149905164107
4,Subject208,theta_F3,-0.3639152924401229,0.3639152924401229
4,Subject208,alpha_F3,-0.3153849940531539,0.3153849940531539
4,Subject208,beta_F3,1.2021183038563217,1.2021183038563217
4,Subject208,delta_F4,-0.10712886816682018,0.10712886816682018
4,Subject208,theta_F4,-0.08909034105617436,0.08909034105617436
4,Subject208,alpha_F4,-0.0473094423768081,0.0473094423768081
4,Subject208,beta_F4,0.17661088271892125,0.17661088271892125
4,Subject208,delta_FC5,0.08789699531347059,0.08789699531347059
4,Subject208,theta_FC5,0.10107411192936223,0.10107411192936223
4,Subject208,alpha_FC5,0.009885784257041185,0.009885784257041185
4,Subject208,beta_FC5,-0.18218250691754076,0.18218250691754076
4,Subject208,delta_FC6,-0.007043812571798164,0.007043812571798164
4,Subject208,theta_FC6,0.05767470002083517,0.05767470002083517
4,Subject208,alpha_FC6,0.45201358282908766,0.45201358282908766
4,Subject208,beta_FC6,-0.3434541058202186,0.3434541058202186
4,Subject208,delta_O2,-0.18147766038620472,0.18147766038620472
4,Subject208,theta_O2,0.3910329385663366,0.3910329385663366
4,Subject208,alpha_O2,-0.029555611015841865,0.029555611015841865
4,Subject208,beta_O2,-0.8433343500292668,0.8433343500292668
4,Subject208,delta_O1,0.11356171411467447,0.11356171411467447
4,Subject208,theta_O1,-0.11806499855784812,0.11806499855784812
4,Subject208,alpha_O1,0.16306408303280848,0.16306408303280848
4,Subject208,beta_O1,-0.4091489736856247,0.4091489736856247
5,Subject301,delta_F3,-0.05528226267787165,0.05528226267787165
5,Subject301,theta_F3,-0.31382436240501604,0.31382436240501604
5,Subject301,alpha_F3,-0.2726714028856586,0.2726714028856586
5,Subject301,beta_F3,1.1391392298282044,1.1391392298282044
5,Subject301,delta_F4,-0.0711357111012706,0.0711357111012706
5,Subject301,theta_F4,-0.08283054482898869,0.08283054482898869
5,Subject301,alpha_F4,-0.05895249254957694,0.05895249254957694
5,Subject301,beta_F4,0.18759730347163972,0.18759730347163972
5,Subject301,delta_FC5,0.09410006281573853,0.09410006281573853
5,Subject301,theta_FC5,0.09373722624473248,0.09373722624473248
5,Subject301,alpha_FC5,0.016741304758979222,0.016741304758979222
5,Subject301,beta_FC5,-0.18051726203426438,0.18051726203426438
5,Subject301,delta_FC6,-0.005827656284327642,0.005827656284327642
5,Subject301,theta_FC6,0.056269631817274436,0.056269631817274436
5,Subject301,alpha_FC6,0.4187477666232537,0.4187477666232537
5,Subject301,beta_FC6,-0.31412826586023423,0.31412826586023423
5,Subject301,delta_O2,-0.19288111564350258,0.19288111564350258
5,Subject301,theta_O2,0.43308477912912663,0.43308477912912663
5,Subject301,alpha_O2,-0.024333037236295246,0.024333037236295246
5,Subject301,beta_O2,-0.9134680760140462,0.9134680760140462
5,Subject301,delta_O1,0.15099117320030048,0.15099117320030048
5,Subject301,theta_O1,-0.22560732849808438,0.22560732849808438
5,Subject301,alpha_O1,0.11697567079114175,0.11697567079114175
5,Subject301,beta_O1,-0.16455890863103118,0.16455890863103118
6,Subject302,delta_F3,0.017517429812555697,0.017517429812555697
6,Subject302,theta_F3,-0.15518707251505753,0.15518707251505753
6,Subject302,alpha_F3,-0.2980607356006046,0.2980607356006046
6,Subject302,beta_F3,0.7607820075675579,0.7607820075675579
6,Subject302,delta_F4,-0.06626725974135851,0.06626725974135851
6,Subject302,theta_F4,-0.06146655027745572,0.06146655027745572
6,Subject302,alpha_F4,-0.03602588155985584,0.03602588155985584
6,Subject302,beta_F4,0.11667456066574379,0.11667456066574379
6,Subject302,delta_FC5,0.09189077471533531,0.09189077471533531
6,Subject302,theta_FC5,0.07809016758568788,0.07809016758568788
6,Subject302,alpha_FC5,-0.002147771615295222,0.002147771615295222
6,Subject302,beta_FC5,-0.15579285821392633,0.15579285821392633
6,Subject302,delta_FC6,-0.005471616887194006,0.005471616887194006
6,Subject302,theta_FC6,0.05220261408152429,0.05220261408152429
6,Subject302,alpha_FC6,0.42353605415791085,0.42353605415791085
6,Subject302,beta_FC6,-0.3229178014586686,0.3229178014586686
6,Subject302,delta_O2,-0.15140315261870912,0.15140315261870912
6,Subject302,theta_O2,0.1293236247374938,0.1293236247374938
6,Subject302,alpha_O2,0.04815895436223707,0.04815895436223707
6,Subject302,beta_O2,-0.517565558730794,0.517565558730794
6,Subject302,delta_O1,0.041232173385041364,0.041232173385041364
6,Subject302,theta_O1,-0.04181914218139885,0.04181914218139885
6,Subject302,alpha_O1,0.0995234605144509,0.0995234605144509
6,Subject302,beta_O1,-0.17035728764105162,0.17035728764105162
7,Subject303,delta_F3,0.06736885073687654,0.06736885073687654
7,Subject303,theta_F3,-0.7054850103192609,0.7054850103192609
7,Subject303,alpha_F3,-0.22681664605367877,0.22681664605367877
7,Subject303,beta_F3,1.0894542588525646,1.0894542588525646
7,Subject303,delta_F4,-0.06023753127251913,0.06023753127251913
