fold_id,test_subject,feature,coefficient,abs_coefficient
1,Subject204,delta_AF4,-0.1306221020553019,0.1306221020553019
1,Subject204,theta_AF4,-0.05356826901865636,0.05356826901865636
1,Subject204,alpha_AF4,0.03938320836300837,0.03938320836300837
1,Subject204,beta_AF4,0.9038963687102199,0.9038963687102199
1,Subject204,delta_F3,0.03226028441487322,0.03226028441487322
1,Subject204,theta_F3,-0.03717948462390889,0.03717948462390889
1,Subject204,alpha_F3,-0.06948532519060602,0.06948532519060602
1,Subject204,beta_F3,0.4385336895314358,0.4385336895314358
1,Subject204,delta_F4,-0.04621174846568075,0.04621174846568075
1,Subject204,theta_F4,-0.554486258188725,0.554486258188725
1,Subject204,alpha_F4,-0.4822462737579558,0.4822462737579558
1,Subject204,beta_F4,0.4406015633885107,0.4406015633885107
1,Subject204,delta_FC5,-0.07593284171957942,0.07593284171957942
1,Subject204,theta_FC5,-0.4142717297864783,0.4142717297864783
1,Subject204,alpha_FC5,-0.11290448687238333,0.11290448687238333
1,Subject204,beta_FC5,-1.049603765972253,1.049603765972253
1,Subject204,delta_FC6,-0.022113921415937488,0.022113921415937488
1,Subject204,theta_FC6,-0.14704990542621293,0.14704990542621293
1,Subject204,alpha_FC6,0.2584777045193384,0.2584777045193384
1,Subject204,beta_FC6,-0.3822475321238738,0.3822475321238738
1,Subject204,delta_O2,-0.09029205045863507,0.09029205045863507
1,Subject204,theta_O2,-0.22588441944644394,0.22588441944644394
1,Subject204,alpha_O2,0.23811965736972915,0.23811965736972915
1,Subject204,beta_O2,-0.1796878249204836,0.1796878249204836
1,Subject204,delta_O1,0.055034353190068136,0.055034353190068136
1,Subject204,theta_O1,0.22260197140919488,0.22260197140919488
1,Subject204,alpha_O1,0.047858529111122705,0.047858529111122705
1,Subject204,beta_O1,0.03658844772313826,0.03658844772313826
2,Subject205,delta_AF3,0.07522544084131966,0.07522544084131966
2,Subject205,theta_AF3,-0.03200064725003983,0.03200064725003983
2,Subject205,alpha_AF3,-0.28932842813703663,0.28932842813703663
2,Subject205,beta_AF3,1.1766758964972126,1.1766758964972126
2,Subject205,delta_AF4,-0.16465667968722136,0.16465667968722136
2,Subject205,theta_AF4,-0.015535466574128595,0.015535466574128595
2,Subject205,alpha_AF4,0.1791241214542588,0.1791241214542588
2,Subject205,beta_AF4,1.3320711321883953,1.3320711321883953
2,Subject205,delta_F3,0.030604607932471963,0.030604607932471963
2,Subject205,theta_F3,-0.09315115182408033,0.09315115182408033
2,Subject205,alpha_F3,-0.053110550894171195,0.053110550894171195
2,Subject205,beta_F3,0.3910649066754277,0.3910649066754277
2,Subject205,delta_F4,-0.029794521190350046,0.029794521190350046
2,Subject205,theta_F4,-0.472322167800271,0.472322167800271
2,Subject205,alpha_F4,-0.4385917986674183,0.4385917986674183
2,Subject205,beta_F4,1.0676075806883738,1.0676075806883738
2,Subject205,delta_FC5,-0.061948592050630566,0.061948592050630566
2,Subject205,theta_FC5,-0.5062732369212468,0.5062732369212468
2,Subject205,alpha_FC5,-0.19049888670849163,0.19049888670849163
2,Subject205,beta_FC5,-1.587288402500073,1.587288402500073
2,Subject205,delta_FC6,-0.06554270780217597,0.06554270780217597
2,Subject205,theta_FC6,-0.19894683700696575,0.19894683700696575
2,Subject205,alpha_FC6,0.18410805646311523,0.18410805646311523
2,Subject205,beta_FC6,-0.08517812436793976,0.08517812436793976
2,Subject205,delta_O2,0.01815069912486939,0.01815069912486939
2,Subject205,theta_O2,-0.2663525024763579,0.2663525024763579
2,Subject205,alpha_O2,0.17929319344941577,0.17929319344941577
2,Subject205,beta_O2,-0.5746981556870805,0.5746981556870805
2,Subject205,delta_O1,-0.17557884683304834,0.17557884683304834
2,Subject205,theta_O1,0.14231912431151533,0.14231912431151533
2,Subject205,alpha_O1,0.016302701766560148,0.016302701766560148
2,Subject205,beta_O1,0.07699660055076508,0.07699660055076508
3,Subject207,delta_AF3,0.12976481406336646,0.12976481406336646
3,Subject207,theta_AF3,0.01525887923846784,0.01525887923846784
3,Subject207,alpha_AF3,-0.31146632210634084,0.31146632210634084
3,Subject207,beta_AF3,0.5730647893898886,0.5730647893898886
3,Subject207,delta_AF4,-0.16518083965714572,0.16518083965714572
3,Subject207,theta_AF4,-0.0488577140696743,0.0488577140696743
3,Subject207,alpha_AF4,0.09593830383175338,0.09593830383175338
3,Subject207,beta_AF4,1.2481669433833575,1.2481669433833575
3,Subject207,delta_F3,-0.0037264317219374865,0.0037264317219374865
3,Subject207,theta_F3,-0.033779918858524514,0.033779918858524514
3,Subject207,alpha_F3,-0.07297595087915484,0.07297595087915484
3,Subject207,beta_F3,0.6833927951501999,0.6833927951501999
3,Subject207,delta_F4,-0.08698281948956718,0.08698281948956718
3,Subject207,theta_F4,-0.5183270219932641,0.5183270219932641
3,Subject207,alpha_F4,-0.39768560484752624,0.39768560484752624
