timestamp_utc,packet_index,sample_index,AF3,AF4,F3,F4,FC5,FC6,O2,O1,label
2026-05-26T10:00:33.587+00:00,821,56244,212880.45053249007,200532.0281424556,544881.0362674041,544936.155669231,200971.30697623573,545894.5090644966,545542.9384759591,545668.0635414199,TASK1
2026-05-26T10:00:33.587+00:00,821,56245,212873.27562251993,200536.319677391,544868.7651596982,544924.1527824585,200970.03292680177,545882.5061777241,545530.6673682532,545655.5242127805,TASK1
2026-05-26T10:00:33.587+00:00,821,56246,212869.05114281786,200540.0747704595,544859.7127031938,544915.100325954,200967.4177727005,545873.1855002863,545521.6149117488,545646.2035353427,TASK1
2026-05-26T10:00:33.587+00:00,821,56247,212866.70420965005,200545.70741006223,544858.9750956268,544914.362718387,200968.75887736783,545872.7161136527,545521.1455251152,545645.7341487091,TASK1
2026-05-26T10:00:33.587+00:00,821,56248,212867.240651517,200549.99894499764,544859.2433165602,544914.6309393204,200972.5139704363,545872.9843345862,545521.1455251152,545646.0023696426,TASK1
2026-05-26T10:00:33.587+00:00,821,56249,212866.2348230165,200551.0718287315,544851.2637437896,544906.6513665499,200973.3186332367,545864.4683199488,545512.8977314112,545637.7545759386,TASK1
2026-05-26T10:00:33.587+00:00,821,56250,212863.0832270483,200548.18845369676,544838.9926360837,544894.1120379105,200975.19617977095,545852.1972122428,545500.6266237053,545625.4834682326,TASK1
2026-05-26T10:00:33.587+00:00,821,56251,212860.19985201358,200545.84152052895,544859.377427027,544914.7650497872,200973.38568847007,545878.7510846556,545526.9122751846,545652.0373406454,TASK1
2026-05-26T10:00:33.587+00:00,821,56252,212854.6342676442,200546.37796239587,545029.9659407098,545085.3535634701,200964.0650110322,546053.3629123406,545701.5241028696,545826.6491683304,TASK1
2026-05-26T10:00:33.587+00:00,821,56253,212844.50892740596,200540.00771522612,545089.5109879387,545144.898610699,200947.50236839082,546104.0566687651,545752.2178592941,545877.342924755,TASK1
2026-05-26T10:00:33.587+00:00,821,56254,212828.48272663148,200523.44507258473,545061.683066092,545116.8024679187,200928.2575164148,546075.4240841179,545723.5852746469,545848.4421191743,TASK1
2026-05-26T10:00:33.587+00:00,821,56255,212813.26118865743,200507.1506508768,545034.1233651786,545089.2427670053,200909.5491063057,546047.8643832045,545695.7573528001,545820.8824182609,TASK1
2026-05-26T10:00:33.587+00:00,821,56256,212803.13584841916,200498.63463623935,545015.4149550694,545070.8025778297,200892.18180086394,546029.4241940288,545677.3171636245,545802.7104500188,TASK1
2026-05-26T10:00:33.587+00:00,821,56257,212798.3749268502,200493.33727280344,545009.0447078997,545064.4323306599,200876.6920419564,546023.0539468591,545670.9469164547,545796.0719819155,TASK1
2026-05-26T10:00:33.587+00:00,821,56258,212794.68688901508,200488.03990936754,545005.8931119315,545061.5489556252,200864.152713317,546019.6341299574,545668.0635414199,545792.9203859473,TASK1
2026-05-26T10:00:33.587+00:00,821,56259,212788.85308371222,200483.81542966547,544996.3042135602,545051.9600572538,200854.2955940122,546009.7770106527,545658.2064221152,545783.0632666425,TASK1
2026-05-26T10:00:33.587+00:00,821,56260,212783.0192784094,200480.93205463074,544981.8873383865,545037.2749611468,200848.46178870936,545995.360135479,545643.521326008,545768.3781705353,TASK1
2026-05-26T10:00:33.587+00:00,821,56261,212782.28167084238,200480.93205463074,544972.5666609486,545028.4907255758,200845.0419718077,545986.3076789746,545634.4688695036,545759.325714031,TASK1
2026-05-26T10:00:33.587+00:00,821,56262,212784.1592173766,200482.0049383646,544971.2926115147,545027.2166761418,200843.49970144028,545985.0336295407,545632.6583782027,545757.7834436635,TASK1
2026-05-26T10:00:33.587+00:00,821,56263,212788.7189732455,200482.54138023153,544970.2867830142,545025.9426267078,200844.57258517414,545983.7595801067,545631.3843287688,545756.777615163,TASK1
2026-05-26T10:00:33.587+00:00,821,56264,212790.8647407132,200481.26733079756,544960.9661055764,545016.8901702035,200843.0303148067,545974.4389026689,545622.3318722644,545747.7251586587,TASK1
2026-05-26T10:00:33.587+00:00,821,56265,212790.93179594658,200483.48015349865,544947.5550589032,545003.2779578302,200842.69503863988,545961.631353096,545610.1948750252,545735.1858300192,TASK1
2026-05-26T10:00:33.587+00:00,821,56266,212790.19418837954,200484.28481629904,544940.9165907999,544996.639489727,200843.49970144028,545955.2611059261,545603.5564069219,545728.8155828494,TASK1
2026-05-26T10:00:33.587+00:00,821,56267,212795.29038611535,200486.69880470022,544945.2081257353,545000.9310246625,200844.0361433072,545959.5526408616,545607.5797209239,545732.8388968514,TASK1
2026-05-26T10:00:33.587+00:00,821,56268,212801.19124665155,200488.57635123446,544945.0069600352,545000.4616380288,200844.57258517414,545959.083254228,545607.3785552238,545732.1012892844,TASK1
2026-05-26T10:00:33.587+00:00,821,56269,212803.0687931858,200489.91745590177,544937.832050065,544993.2867280587,200846.1819107749,545951.9083442579,545600.471866187,545725.1946002477,TASK1
2026-05-26T10:00:33.587+00:00,821,56270,212802.3311856188,200490.45389776872,544925.2927214256,544981.0156203527,200850.47344571032,545939.100794685,545587.6643166142,545712.6552716083,TASK1
2026-05-26T10:00:33.587+00:00,821,56271,212803.6722902861,200491.25856056908,544916.2402649212,544971.9631638484,200854.2285387788,545930.0483381806,545578.6118601098,545703.6028151038,TASK1
2026-05-26T10:00:33.587+00:00,821,56272,212806.89094148765,200493.13610710335,544915.2344364207,544971.2255562813,200859.05651558118,545929.3107306135,545577.3378106758,545702.32876567,TASK1
2026-05-26T10:00:33.587+00:00,821,56273,212809.30492988884,200496.08653737145,544915.7708782877,544971.7619981483,200865.22559705083,545929.8471724805,545578.1424734762,545702.8652075368,TASK1
2026-05-26T10:00:33.587+00:00,821,56274,212813.06002295733,200496.62297923837,544908.864189251,544964.3188672446,200865.4938179843,545922.4040415769,545571.2357844396,545695.9585185002,TASK1
2026-05-26T10:00:33.587+00:00,821,56275,212814.93756949157,200498.76874670608,544896.5930815451,544952.0477595386,200868.71246918585,545910.6693757379,545558.9646767336,545683.9556317277,TASK1
2026-05-26T10:00:33.587+00:00,821,56276,212815.20579042504,200504.13316537536,544887.8088459742,544943.2635239677,200877.2955390567,545902.4215820339,545550.4486620962,545675.4396170902,TASK1
2026-05-26T10:00:33.587+00:00,821,56277,212817.08333695927,200508.9611421777,544887.607680274,544943.0623582676,200886.68327172793,545901.6839744669,545549.9792754626,545674.9702304567,TASK1
2026-05-26T10:00:33.587+00:00,821,56278,212820.83843002777,200514.0573399135,544888.9487849413,544944.4034629349,200897.9485509334,545903.0250791342,545551.3203801299,545676.5795560575,TASK1
2026-05-26T10:00:33.587+00:00,821,56279,212825.66640683013,200516.47132831468,544881.5056540377,544936.9603320314,200904.65407427,545895.5819482305,545544.1454701597,545669.1364251538,TASK1
2026-05-26T10:00:33.587+00:00,821,56280,212830.49438363247,200516.0019416811,544868.9663253983,544924.6892243254,200905.19051613694,545883.0426195911,545531.6061415203,545656.5970965144,TASK1
2026-05-26T10:00:33.587+00:00,821,56281,212833.1765929671,200512.8503457129,544871.112092866,544926.834991793,200908.140946405,545888.1388173269,545536.4341183227,545661.6932942502,TASK1
2026-05-26T10:00:33.587+00:00,821,56282,212835.85880230175,200511.03985441205,544942.9953030342,544998.4499810279,200912.16426040698,545962.9724577633,545610.9995378256,545736.2587137531,TASK1
